koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_depth_err2,koi_model_snr,koi_srad,koi_srad_err2,dec
CONFIRMED,1.0,0,0,0,0,15.37562369,-1.017e-05,0.692,3.3169,15337.0,-114.0,166.0,0.833,-0.062,40.358189
CONFIRMED,1.0,0,0,0,0,8.10363271,-2.032e-05,0.047,3.161,887.9,-24.5,39.3,0.732,-0.068,40.421829
CONFIRMED,1.0,0,0,0,0,4.71510843,-1.941e-05,0.258,2.506,417.5,-22.0,21.3,0.732,-0.068,40.421829
CONFIRMED,1.0,0,0,0,0,6.365839713,-8.06e-06,0.524,2.9721,780.7,-13.1,70.8,0.849,-0.071,40.420521
FALSE POSITIVE,0.037,0,0,1,0,5.97581754,-1.118e-05,0.941,3.065,962.4,-23.5,50.3,0.997,-0.114,40.417858
FALSE POSITIVE,0.0,0,0,1,1,2.446737317,-3.089e-06,1.241,4.7211,1177.9,-12.7,110.2,0.863,-0.081,40.862808
CONFIRMED,1.0,0,0,0,0,3.04033046,-3.37e-07,0.736,1.8411,10859.0,-25.8,568.2,0.791,-0.087,40.82238
CONFIRMED,1.0,0,0,0,0,15.33528675,-1.989e-05,0.773,3.897,3081.4,-39.0,86.6,0.817,-0.029,41.08588
CONFIRMED,0.998,0,0,0,0,7.95825328,-7.673e-05,0.706,4.377,50.0,-3.7,14.7,1.402,-0.046,48.208611
CONFIRMED,1.0,0,0,0,0,31.33046135,-3.977e-05,0.798,5.176,5073.8,-48.4,117.2,0.817,-0.029,41.08588
FALSE POSITIVE,0.006,0,1,0,0,3.9043425,-1.339e-06,0.709,3.831,16228.0,-62.1,323.4,0.898,-0.087,40.549679
FALSE POSITIVE,0.0,0,1,0,0,9.286358079,-5.46e-07,0.377,3.49949,44791.0,-32.8,1671.1,0.821,-0.087,40.53392
FALSE POSITIVE,0.0,0,1,0,0,3.951405455,-2.258e-06,1.276,2.1862,2453.9,-25.2,117.2,0.869,-0.082,40.505489
CONFIRMED,0.999,0,0,0,0,23.65369415,-1.748e-05,0.008,8.2183,3341.8,-13.2,266.3,1.384,-0.266,40.637821
CONFIRMED,0.996,0,0,0,0,13.23352214,-4.503e-05,0.014,6.7372,504.6,-10.8,49.1,1.384,-0.266,40.637821
CONFIRMED,0.997,0,0,0,0,6.15560285,-2.704e-05,0.235,4.9843,285.0,-8.6,35.1,1.384,-0.266,40.637821
CONFIRMED,1.0,0,0,0,0,2.090811305,-9.571e-06,0.746,3.388,115.9,-6.4,19.9,1.384,-0.266,40.637821
CONFIRMED,0.995,0,0,0,0,3.180027898,-7.278e-06,0.196,3.5797,120.3,-2.7,50.4,1.402,-0.046,48.208611
CONFIRMED,0.989,0,0,0,0,50.4467417,-0.0006505,0.379,7.159,370.3,-20.1,19.4,1.384,-0.266,40.637821
CONFIRMED,1.0,0,0,0,0,11.76307164,-2.035e-05,0.048,2.9076,1037.3,-23.9,48.9,0.756,-0.027,40.66341
CONFIRMED,0.878,0,0,0,0,56.2279271,-0.0003134,0.7,3.57,862.7,-44.9,20.9,0.756,-0.027,40.66341
FALSE POSITIVE,0.0,0,1,1,1,2.384052875,-4.74e-06,1.178,3.0918,1268.1,-29.9,50.5,0.701,-0.066,40.691238
CONFIRMED,1.0,0,0,0,0,7.953547,-1.91e-05,0.3,2.6312,875.4,-25.3,38.4,0.779,-0.049,40.750271
CONFIRMED,1.0,0,0,0,0,4.14451656,-1.44e-05,0.004,2.3421,391.8,-19.8,22.8,0.779,-0.049,40.750271
FALSE POSITIVE,0.0,0,1,0,0,4.859386384,-1.272e-06,1.259,2.2757,6044.3,-27.2,269.7,0.988,-0.11,40.759762
CONFIRMED,0.999,0,0,0,0,10.526294577,-1.783e-06,0.644,2.5211,9768.0,-26.4,482.3,0.793,-0.077,41.66177
CONFIRMED,1.0,0,0,0,0,4.583520948,-4.18e-06,0.045,2.7055,3812.1,-44.5,99.5,0.877,-0.087,41.74268
CONFIRMED,0.876,0,0,0,0,3.76181843,-1.14e-05,0.926,3.5176,510.6,-16.4,35.9,0.949,-0.093,41.83712
CONFIRMED,1.0,0,0,0,0,8.20396958,-1.488e-05,0.823,2.9667,1024.4,-21.2,54.4,0.826,-0.083,41.808399
CONFIRMED,1.0,0,0,0,0,14.49645186,-6.36e-05,0.97,4.016,647.5,-26.7,25.7,0.826,-0.083,41.808399
